Sample ID,Group,TNF-α,IL-2,IFN-γ,IL-5,IL-6,IL-12p70,IL-10
M6,Baseline,0.0493109828076726,0.190635109002481,0.0255276278137868,0.190823866662391,2.19450329429781,2.55562711081131,0.267574754792836
M7,Baseline,0.0462475197100691,0.229695257953755,0.0417810994914289,0.263007553681352,2.38554299407598,3.01621661118998,0.40010791226696
M8,Baseline,0.0251613579546403,0.13286169669653,0.0169045611733352,0.139593464273968,1.52621678629348,1.76344456865474,0.188367338119622
M9,Baseline,0.0456335600053951,0.271783005523832,0.0223153380057148,0.180325860238451,1.87469821328593,3.51573278114654,0.447245931908831
M10,Baseline,0.026411408160058,0.104003916118774,0.022237401083654,0.150725415351061,1.98652820257946,1.67111971625068,0.364215194702935
M16,Vivarium,0.0948632929076472,0.235195061460034,0.0388450904436707,0.251351255467668,3.16152644280368,6.96506521614453,0.555127526398735
M17,Vivarium,0.0718876842731867,0.364793612242409,0.0462645635156726,0.256272746931579,2.80847474307377,4.8377659026366,0.553734966634608
M18,Vivarium,0.0804634931462274,0.248541785989459,0.0298249593236833,0.182497234429918,2.31975856368055,4.39321475913637,0.450413432647665
M19,Vivarium,0.0496843500955653,0.240836800072769,0.0268479685754128,0.192083135018315,2.20358521002421,3.66141738932834,0.349850299254189
M20,Vivarium,0.0438588238733309,0.211110760279159,0.0288331533404765,0.169633354996208,1.96550379403828,2.65071475250893,0.306428887673296
M26,Flight,0.0330967529286063,0.235677833373381,0.0314480009424678,0.142088663984645,1.86423918246452,2.82113750939869,0.124805226755951
M27,Flight,0.0395459147841908,0.206906384278959,0.0275143754776221,0.183482109565934,2.15067351506451,3.13231976155752,0.371179175147116
M28,Flight,0.0385858717161489,0.141910874607611,0.0294095427842541,0.148013850861671,2.03448017071452,2.89370037270833,0.257419429637639
M29,Flight,0.0631218913694083,0.236786526581684,0.0305324461500113,0.243702356915387,1.87209950097129,5.15529007418073,0.514432969963654
M30,Flight,0.0756444385746695,0.359469743591095,0.0511601769381146,0.216586673027386,2.9484020879042,5.45318984413017,0.6549768403181
M36,Ground,0.143466898563363,0.373439168646362,0.0408838225108805,0.279636873026202,2.4748412093725,7.458857404799,0.722884900342055
M37,Ground,0.0714787625170202,0.189165763153446,0.0371488610533598,0.216735033882954,2.13487902141029,6.25389697466682,0.466088875549006
M38,Ground,0.0582658131781702,0.240255705520998,0.0225229222723553,0.142952893955682,2.10595760086881,4.21428384344934,0.397817015594451
M39,Ground,0.0733994620643143,0.172597549245597,0.0264238294398527,0.175797059117931,1.69153838495722,2.99865998059043,0.389338081536895
M40,Ground,0.0266720455736601,0.14260936438972,0.0349464208930771,0.184897415167749,2.00203887353912,3.19014992503416,0.159649402155222
